meal_id,cycle_phase,meal_type,meal_name,description,key_nutrients,calories,iron_mg,magnesium_mg,omega3_g,vitamin_c_mg,prep_time_min,dietary_tags
MEAL-0014,menstrual,snack,Spinach and Cheese Muffin,"Mini muffins with spinach and cheddar. Warm, comforting, iron-containing snack.",iron;calcium;protein,145,8.0,119.5,1.07,18.7,7,vegetarian
MEAL-0015,menstrual,lunch,Lentil and Kale Soup,"Hearty red lentil soup with kale, tomatoes, cumin, and turmeric. A warming, iron-rich meal that fights inflammation.",iron;fiber;vitamin_c,587,7.3,63.0,0.86,19.2,27,vegan
MEAL-0016,menstrual,lunch,Salmon Teriyaki Rice Bowl,"Grilled salmon with brown rice, edamame, and steamed broccoli. Excellent omega-3 and iron content.",omega3;iron;protein,662,8.7,66.2,0.55,44.4,18,pescatarian;gluten_free
MEAL-0017,menstrual,lunch,Spinach and Chickpea Curry,Chickpeas simmered with spinach in a spiced coconut sauce. Served with basmati rice. Deeply nourishing.,iron;protein;vitamin_c,441,6.3,110.7,0.53,46.1,40,vegan
MEAL-0018,menstrual,lunch,Beef and Broccoli Stir-Fry,"Lean beef strips with broccoli, bell pepper, and sesame. High in heme iron and vitamin C for absorption.",iron;protein;vitamin_c,445,6.8,119.8,0.6,42.0,15,gluten_free;dairy_free
MEAL-0019,menstrual,lunch,Mediterranean Sardine Salad,"Sardines on a bed of mixed greens with olives, tomatoes, and lemon vinaigrette. Omega-3 and iron-packed.",omega3;iron;calcium,313,8.4,68.1,0.62,31.3,21,pescatarian;gluten_free
MEAL-0020,menstrual,lunch,Black Bean and Quinoa Bowl,"Black beans with quinoa, roasted red pepper, and avocado. Plant-based iron and complete protein.",iron;protein;fiber,555,4.1,116.7,1.13,22.3,31,vegan;gluten_free
MEAL-0021,menstrual,lunch,Liver Pate Sandwich,Chicken liver pate on wholegrain bread with cornichons and watercress. Highest bioavailable iron source.,iron;vitamin_a;vitamin_b12,680,7.8,82.0,0.95,27.5,17,dairy_free
MEAL-0022,menstrual,dinner,Lamb and Lentil Stew,"Slow-cooked lamb with lentils, carrots, and rosemary. Rich in heme iron and warming spices.",iron;protein;zinc,502,4.3,89.4,0.88,41.0,48,gluten_free;dairy_free
MEAL-0023,menstrual,dinner,Baked Salmon with Sweet Potato,Oven-baked salmon fillet with roasted sweet potato and steamed greens. Anti-inflammatory omega-3 powerhouse.,omega3;vitamin_a;iron,664,6.1,72.5,0.45,24.8,32,pescatarian;gluten_free
MEAL-0024,menstrual,dinner,Dark Chocolate Chili Con Carne,Black beans and beef in a rich tomato sauce with a square of dark chocolate. Unique iron and magnesium combination.,iron;magnesium;protein,768,8.2,64.2,0.7,47.2,53,gluten_free
MEAL-0025,menstrual,dinner,Tofu and Mushroom Ramen,"Silken tofu in a ginger-miso broth with shiitake mushrooms, nori, and spring onions. Warm and restorative.",iron;protein;vitamin_b12,739,5.8,73.5,1.16,42.8,41,vegan
MEAL-0026,menstrual,dinner,Chicken Liver Pate with Crostini,Smooth chicken liver pate with wholegrain crostini and cornichons. Extremely high in bioavailable iron.,iron;vitamin_a;vitamin_b12,408,8.4,109.9,1.1,26.9,31,dairy_free
MEAL-0027,menstrual,dinner,Venison Steak with Red Cabbage,Pan-seared venison with braised red cabbage and roasted parsnips. Very high in heme iron.,iron;protein;vitamin_c,580,6.3,83.8,0.64,39.6,46,gluten_free;dairy_free
MEAL-0028,menstrual,dinner,Mussels in White Wine Sauce,"Mussels steamed in white wine, garlic, and parsley. Served with crusty bread. Rich in iron and B12.",iron;vitamin_b12;omega3,692,4.3,91.2,0.9,24.0,28,pescatarian
MEAL-0029,follicular,breakfast,Protein Pancakes with Berries,"Fluffy pancakes made with protein powder, oats, and eggs. Topped with fresh blueberries and Greek yogurt.",protein;antioxidants;calcium,412,3.0,71.2,0.64,30.1,15,vegetarian
MEAL-0030,follicular,breakfast,Scrambled Eggs with Smoked Turkey,"Free-range eggs scrambled with smoked turkey, cherry tomatoes, and wholegrain toast. High-protein energy start.",protein;vitamin_b12;selenium,313,2.7,81.4,0.35,58.9,25,dairy_free
MEAL-0031,follicular,breakfast,Acai Berry Bowl,"Acai blended with banana and topped with granola, strawberries, and coconut flakes. Antioxidant-rich energy bowl.",antioxidants;vitamin_c;fiber,531,4.5,53.3,0.5,25.9,12,vegan
MEAL-0032,follicular,breakfast,Quinoa Breakfast Porridge,"Quinoa cooked in almond milk with cinnamon, walnuts, and fresh pear. Complete protein and sustained energy.",protein;fiber;omega3,424,5.0,69.5,0.49,58.1,18,vegan
MEAL-0033,follicular,breakfast,Greek Yogurt Parfait,"Thick Greek yogurt layered with honey, mixed nuts, and pomegranate seeds. Protein-rich and energizing.",protein;calcium;antioxidants,357,5.0,67.1,0.51,39.7,23,vegetarian;gluten_free
MEAL-0034,follicular,breakfast,Egg White Veggie Scramble,"Egg whites with spinach, mushrooms, and bell peppers. Light, high-protein, energizing.",protein;vitamin_c;iron,339,3.2,82.1,0.58,51.0,22,vegetarian;gluten_free
MEAL-0035,follicular,breakfast,Cottage Cheese and Fruit Bowl,"Cottage cheese with fresh peach, walnuts, and a drizzle of honey. Casein protein for sustained energy.",protein;calcium;vitamin_c,306,3.7,41.7,0.35,20.3,13,vegetarian;gluten_free
MEAL-0036,follicular,snack,Boiled Eggs and Cherry Tomatoes,"Two boiled eggs with a handful of cherry tomatoes and sea salt. Simple, protein-packed snack.",protein;vitamin_d;lycopene,156,4.2,58.7,0.61,24.9,5,vegetarian;gluten_free
MEAL-0037,follicular,snack,Berries and Almond Butter,Fresh mixed berries with a tablespoon of almond butter. Antioxidants plus healthy fats.,antioxidants;healthy_fats;vitamin_e,232,5.1,68.2,0.4,57.0,7,vegan;gluten_free
MEAL-0038,follicular,snack,Chicken Jerky Strips,Lean chicken jerky with cracked pepper. Portable high-protein snack for active days.,protein;iron;zinc,135,3.7,49.0,0.38,52.9,5,gluten_free;dairy_free
MEAL-0039,follicular,snack,Edamame with Sea Salt,Steamed edamame pods with flaky sea salt. Plant protein and isoflavones.,protein;fiber;isoflavones,229,3.3,49.6,0.29,37.5,15,vegan;gluten_free
MEAL-0040,follicular,snack,Protein Smoothie,"Whey protein blended with banana, spinach, and peanut butter. Quick refuel after morning workout.",protein;potassium;iron,129,4.0,70.8,0.56,43.5,15,vegetarian;gluten_free
MEAL-0041,follicular,snack,Turkey Roll-Ups,Sliced turkey breast rolled around cucumber and mustard. Lean protein portable snack.,protein;vitamin_b6;selenium,194,4.9,50.7,0.27,27.6,12,gluten_free;dairy_free
MEAL-0042,follicular,snack,Rice Cake with Tuna,Rice cake topped with canned tuna and a squeeze of lemon. Quick protein hit.,protein;omega3;selenium,194,5.3,98.1,0.46,57.2,9,gluten_free;dairy_free
MEAL-0043,follicular,lunch,Grilled Chicken Quinoa Bowl,"Grilled chicken breast on a bed of quinoa with avocado, black beans, corn, and lime dressing. Complete balanced meal.",protein;fiber;healthy_fats,612,4.1,63.7,0.65,23.9,20,gluten_free;dairy_free
MEAL-0044,follicular,lunch,Tuna Nicoise Salad,"Seared tuna with green beans, boiled egg, olives, and new potatoes. Classic protein-rich lunch.",protein;omega3;vitamin_d,382,5.1,89.7,0.6,23.4,16,pescatarian;gluten_free
MEAL-0045,follicular,lunch,Turkey and Avocado Wrap,"Sliced turkey with avocado, lettuce, and mustard in a wholegrain wrap. Lean protein with healthy fats.",protein;healthy_fats;fiber,496,4.3,81.2,0.32,37.2,40,dairy_free
MEAL-0046,follicular,lunch,Egg Fried Rice with Vegetables,"Brown rice stir-fried with eggs, peas, carrots, and spring onions. Quick, energizing, protein-rich.",protein;fiber;vitamin_a,387,3.7,67.2,0.6,47.8,22,vegetarian;dairy_free
MEAL-0047,follicular,lunch,Chicken Caesar Salad,"Grilled chicken on romaine lettuce with parmesan, croutons, and Caesar dressing. Satisfying protein lunch.",protein;calcium;vitamin_k,343,3.6,52.7,0.3,39.0,18,omnivore
MEAL-0048,follicular,lunch,Prawn Stir-Fry Noodles,"King prawns with rice noodles, pak choi, and chili. Light, protein-rich, energizing.",protein;omega3;vitamin_c,531,3.4,51.8,0.71,30.7,28,pescatarian;dairy_free
MEAL-0049,follicular,lunch,Greek Chicken Souvlaki Bowl,"Marinated chicken with tzatziki, tomato, cucumber, and wholegrain pitta. Mediterranean protein bowl.",protein;calcium;vitamin_c,484,4.7,64.5,0.24,28.3,26,omnivore
MEAL-0050,follicular,dinner,Grilled Steak with Asparagus,Lean sirloin steak with roasted asparagus and sweet potato wedges. Iron and protein to fuel active phases.,protein;iron;vitamin_b6,619,5.5,43.7,0.27,48.6,52,gluten_free;dairy_free
MEAL-0051,follicular,dinner,Chicken Stir-Fry with Cashews,"Chicken breast stir-fried with bell peppers, snap peas, and cashew nuts in a light soy sauce.",protein;vitamin_c;healthy_fats,554,3.8,54.2,0.66,39.3,53,dairy_free
MEAL-0052,follicular,dinner,Baked Cod with Herbed Couscous,"Cod fillet baked with lemon and herbs, served with fluffy couscous and roasted vegetables.",protein;omega3;fiber,430,4.2,81.1,0.24,26.9,28,pescatarian;dairy_free
MEAL-0053,follicular,dinner,Turkey Meatballs with Pasta,Lean turkey meatballs in marinara sauce over wholegrain pasta. High protein recovery meal.,protein;lycopene;fiber,672,2.5,79.3,0.39,50.3,54,dairy_free
MEAL-0054,follicular,dinner,Prawn and Vegetable Curry,"King prawns in a light coconut curry with spinach, chickpeas, and basmati rice. Lean protein with warming spices.",protein;omega3;iron,648,2.5,90.8,0.69,26.9,47,pescatarian;gluten_free
MEAL-0055,follicular,dinner,Chicken and Sweet Potato Bake,"Chicken thighs roasted with sweet potato, red onion, and rosemary. Simple one-tray protein dinner.",protein;vitamin_a;vitamin_b6,440,5.3,95.6,0.22,20.9,27,gluten_free;dairy_free
MEAL-0056,follicular,dinner,Salmon Pasta Bake,"Flaked salmon with wholegrain pasta, spinach, and a light cheese sauce. Omega-3 and protein combination.",protein;omega3;calcium,435,3.1,93.2,0.66,20.7,54,pescatarian
MEAL-0057,ovulation,breakfast,Green Goddess Smoothie,"Kale, spinach, banana, flaxseed, and green apple blended with coconut water. Antioxidant and zinc-rich start.",antioxidants;zinc;fiber,459,3.3,88.0,0.66,58.8,15,vegan;gluten_free
MEAL-0058,ovulation,breakfast,Avocado Toast with Pumpkin Seeds,"Sourdough toast with mashed avocado, pumpkin seeds, and a squeeze of lime. Zinc and healthy fats.",zinc;healthy_fats;vitamin_e,307,2.7,57.7,0.37,37.1,24,vegan
MEAL-0059,ovulation,breakfast,Nut and Seed Granola Bowl,"Homemade granola with almonds, sunflower seeds, and hemp hearts over coconut yogurt. Zinc and antioxidant-packed.",zinc;vitamin_e;fiber,273,4.6,91.1,0.72,38.5,15,vegan
MEAL-0060,ovulation,breakfast,Smoked Salmon Bagel,"Wholegrain bagel with smoked salmon, cream cheese, capers, and red onion. Omega-3 and zinc combination.",omega3;zinc;protein,379,3.3,77.1,0.83,65.6,12,pescatarian
MEAL-0061,ovulation,breakfast,Spinach and Mushroom Frittata,"Eggs baked with spinach, mushrooms, and goat cheese. Rich in zinc and B vitamins.",zinc;vitamin_b12;iron,254,4.3,57.1,0.64,63.9,21,vegetarian;gluten_free
MEAL-0062,ovulation,breakfast,Pumpkin Seed Butter on Toast,Wholegrain toast with pumpkin seed butter and sliced banana. High zinc plant-based breakfast.,zinc;magnesium;fiber,279,4.6,45.2,0.53,61.0,16,vegan
MEAL-0063,ovulation,breakfast,Shellfish Omelette,"Omelette with crab meat, chives, and a side of mixed greens. Extremely high zinc content.",zinc;protein;omega3,382,2.3,89.2,0.75,42.4,23,pescatarian;gluten_free
MEAL-0064,ovulation,snack,Oyster Mushroom Crisps,Baked oyster mushroom slices seasoned with nutritional yeast and garlic. Zinc-rich plant-based snack.,zinc;vitamin_b12;fiber,155,4.5,60.6,0.48,60.2,14,vegan;gluten_free
MEAL-0065,ovulation,snack,Mixed Nuts and Seeds,"Brazil nuts, pumpkin seeds, sunflower seeds, and walnuts. Selenium, zinc, and omega-3.",zinc;selenium;omega3,228,4.6,83.3,0.7,50.0,6,vegan;gluten_free
MEAL-0066,ovulation,snack,Kale Chips with Tahini,Baked kale chips drizzled with lemon tahini. Antioxidants and minerals.,antioxidants;calcium;zinc,132,3.3,96.5,0.3,69.8,14,vegan;gluten_free
MEAL-0067,ovulation,snack,Cucumber and Sesame Bites,"Cucumber rounds topped with sesame paste, sesame seeds, and a pinch of chili. Refreshing zinc snack.",zinc;calcium;fiber,212,3.0,71.3,0.41,47.7,13,vegan;gluten_free
MEAL-0068,ovulation,snack,Pomegranate and Pistachio Mix,Fresh pomegranate seeds with shelled pistachios. Antioxidant and zinc combination.,antioxidants;zinc;vitamin_c,137,5.0,85.7,0.39,30.4,13,vegan;gluten_free
MEAL-0069,ovulation,snack,Cashew and Cacao Bites,Cashews blended with raw cacao and rolled in coconut. Zinc and antioxidant energy bites.,zinc;magnesium;antioxidants,214,4.3,69.3,0.71,51.6,11,vegan;gluten_free
MEAL-0070,ovulation,snack,Seaweed Snack Pack,"Roasted nori sheets with sesame oil. Rich in zinc, iodine, and minerals.",zinc;iodine;iron,140,3.7,75.4,0.31,58.6,12,vegan;gluten_free
MEAL-0071,ovulation,lunch,Prawn and Avocado Salad,"Tiger prawns with avocado, mixed leaves, mango, and lime dressing. High in zinc and healthy fats.",zinc;omega3;vitamin_c,327,2.6,103.1,0.88,45.9,33,pescatarian;gluten_free
MEAL-0072,ovulation,lunch,Spinach and Walnut Pesto Pasta,Wholegrain pasta with homemade spinach-walnut pesto and cherry tomatoes. Plant-based zinc and antioxidants.,zinc;omega3;antioxidants,564,4.6,53.3,0.52,62.8,40,vegetarian
MEAL-0073,ovulation,lunch,Grilled Lamb Chop Salad,"Herb-crusted lamb chop on a bed of rocket, pomegranate, and feta. Excellent zinc and iron source.",zinc;iron;protein,392,3.7,101.1,0.88,53.0,34,gluten_free
MEAL-0074,ovulation,lunch,Sushi Bowl with Edamame,"Brown rice sushi bowl with salmon, edamame, avocado, and nori. Zinc and omega-3 from multiple sources.",zinc;omega3;protein,452,2.9,68.6,0.43,25.4,18,pescatarian;gluten_free
MEAL-0075,ovulation,lunch,Roasted Beetroot and Goat Cheese Salad,"Roasted beetroot with goat cheese, walnuts, and balsamic glaze on mixed greens. Antioxidant-rich.",antioxidants;zinc;healthy_fats,631,2.9,66.1,0.9,48.6,26,vegetarian;gluten_free
MEAL-0076,ovulation,lunch,Crab and Corn Chowder,Creamy crab and sweetcorn soup with fresh dill. One of the highest zinc lunches.,zinc;protein;vitamin_b12,407,3.8,90.6,0.62,61.8,28,pescatarian;gluten_free
MEAL-0077,ovulation,lunch,Chickpea and Pumpkin Seed Salad,"Roasted chickpeas with pumpkin seeds, spinach, and tahini dressing. Plant-based zinc lunch.",zinc;fiber;iron,335,3.8,60.7,0.55,56.5,21,vegan;gluten_free
MEAL-0078,ovulation,dinner,Grilled Oysters with Lemon,Fresh oysters grilled with garlic butter and lemon. The highest natural source of zinc available.,zinc;omega3;vitamin_b12,382,4.5,102.7,0.52,61.1,56,pescatarian;gluten_free
MEAL-0079,ovulation,dinner,Roasted Chicken with Root Vegetables,"Whole roasted chicken thigh with parsnips, carrots, and Brussels sprouts. Zinc and vitamin-rich dinner.",zinc;protein;vitamin_a,484,2.7,53.9,0.54,53.0,23,gluten_free;dairy_free
MEAL-0080,ovulation,dinner,Sesame-Crusted Tuna Steak,"Seared tuna steak with sesame crust, bok choy, and soba noodles. Zinc and omega-3 combination.",zinc;omega3;protein,457,2.1,94.5,0.38,26.9,57,pescatarian;dairy_free
MEAL-0081,ovulation,dinner,Stuffed Bell Peppers,"Bell peppers stuffed with quinoa, black beans, corn, and pumpkin seeds. Plant-based zinc and fiber.",zinc;fiber;protein,442,2.0,106.9,0.44,68.4,32,vegan;gluten_free
MEAL-0082,ovulation,dinner,Lamb Kofta with Tabbouleh,Spiced lamb kofta with fresh parsley tabbouleh and tzatziki. Zinc-rich Middle Eastern dinner.,zinc;protein;vitamin_c,607,2.1,72.8,0.79,66.3,44,omnivore
MEAL-0083,ovulation,dinner,Crab Linguine,"Fresh crab meat tossed with linguine, chili, garlic, and parsley. Luxurious zinc-rich pasta.",zinc;protein;omega3,552,4.5,77.6,0.32,62.1,41,pescatarian;dairy_free
MEAL-0084,ovulation,dinner,Beef and Cashew Stir-Fry,"Beef strips with cashews, broccoli, and oyster sauce over jasmine rice. Double zinc from beef and cashews.",zinc;protein;iron,457,4.3,106.7,0.42,64.4,54,dairy_free
MEAL-0085,luteal,breakfast,Sweet Potato and Banana Smoothie,"Baked sweet potato, banana, almond milk, and cinnamon blended smooth. Complex carbs and magnesium for PMS support.",magnesium;vitamin_b6;potassium,524,3.8,63.1,0.43,23.9,19,vegan;gluten_free
MEAL-0086,luteal,breakfast,Banana Oat Pancakes,Mashed banana pancakes with oats and topped with almond butter and sliced banana. B6 and magnesium-rich.,vitamin_b6;magnesium;fiber,408,3.5,125.7,0.65,33.4,24,vegan
MEAL-0087,luteal,breakfast,Brown Rice Pudding with Cardamom,"Brown rice slow-cooked with oat milk, cardamom, and topped with pistachios. Complex carbs for mood stability.",magnesium;fiber;calcium,309,3.9,74.1,0.54,23.0,12,vegan;gluten_free
MEAL-0088,luteal,breakfast,Chickpea Flour Pancakes (Socca),Savory chickpea flour pancakes with roasted vegetables and tahini. Magnesium and B6 from chickpeas.,magnesium;vitamin_b6;protein,496,3.6,105.2,0.53,30.2,10,vegan;gluten_free
MEAL-0089,luteal,breakfast,Warm Millet Porridge,"Millet cooked with coconut milk, dates, and walnuts. High in magnesium and B vitamins.",magnesium;vitamin_b6;omega3,592,3.3,141.9,0.54,20.0,23,vegan;gluten_free
MEAL-0090,luteal,breakfast,Buckwheat Crepes with Banana,Buckwheat crepes filled with sliced banana and almond butter. Magnesium-rich and satisfying.,magnesium;vitamin_b6;fiber,325,3.2,138.1,0.77,19.6,19,vegan;gluten_free
MEAL-0091,luteal,breakfast,Avocado and Black Bean Breakfast Tacos,"Corn tortillas with black beans, avocado, and salsa. Magnesium from beans and avocado.",magnesium;fiber;vitamin_b6,294,4.1,115.5,0.55,24.6,14,vegan;gluten_free
MEAL-0092,luteal,snack,Dark Chocolate and Banana,A square of 85% dark chocolate with a ripe banana. Magnesium and potassium to ease PMS tension.,magnesium;potassium;antioxidants,256,3.7,110.2,0.73,21.8,13,vegan;gluten_free
MEAL-0093,luteal,snack,Roasted Chickpeas,"Crispy roasted chickpeas with cumin and paprika. Magnesium, B6, and satisfying crunch.",magnesium;vitamin_b6;fiber,183,4.4,102.6,0.63,40.6,7,vegan;gluten_free
MEAL-0094,luteal,snack,Yogurt with Sunflower Seeds,Greek yogurt topped with sunflower seeds and a drizzle of honey. Calcium and magnesium.,calcium;magnesium;protein,213,3.3,72.8,0.45,31.3,8,vegetarian;gluten_free
MEAL-0095,luteal,snack,Banana and Walnut Muffin,"Wholegrain muffin with banana and walnuts. Complex carbs, B6, and omega-3.",vitamin_b6;omega3;fiber,156,3.9,123.5,0.3,28.4,14,vegetarian
MEAL-0096,luteal,snack,Chamomile Tea with Almond Milk,Soothing chamomile tea with warm almond milk and a pinch of cinnamon. Calming and magnesium-supportive.,magnesium;calcium;antioxidants,146,3.3,78.8,0.25,17.8,8,vegan;gluten_free
MEAL-0097,luteal,snack,Pumpkin Seed Clusters,"Clusters of pumpkin seeds, oats, and dark chocolate. Magnesium and tryptophan for calm.",magnesium;tryptophan;fiber,276,2.3,96.7,0.51,31.3,15,vegan
MEAL-0098,luteal,snack,Frozen Banana Bites,"Banana slices dipped in dark chocolate and frozen. Sweet, magnesium-rich treat.",magnesium;potassium;antioxidants,210,2.8,106.9,0.63,33.0,5,vegan;gluten_free
MEAL-0099,luteal,lunch,Sweet Potato and Black Bean Bowl,"Roasted sweet potato with black beans, quinoa, and avocado lime dressing. Complex carbs and magnesium.",magnesium;vitamin_b6;fiber,518,2.7,125.5,0.63,16.5,16,vegan;gluten_free
MEAL-0100,luteal,lunch,Chickpea and Brown Rice Salad,"Chickpeas with brown rice, roasted peppers, and lemon-tahini dressing. B6 and magnesium-rich.",vitamin_b6;magnesium;protein,689,2.9,84.3,0.64,27.8,17,vegan;gluten_free
MEAL-0101,luteal,lunch,Turkey and Sweet Potato Wrap,Sliced turkey with mashed sweet potato and spinach in a wholegrain wrap. B6 and complex carbs.,vitamin_b6;magnesium;protein,475,3.7,120.5,0.28,31.2,39,dairy_free
MEAL-0102,luteal,lunch,Mushroom and Barley Soup,"Hearty mushroom soup with pearl barley, thyme, and root vegetables. Warming, magnesium-rich comfort food.",magnesium;fiber;vitamin_d,470,4.1,147.2,0.7,32.6,20,vegan
MEAL-0103,luteal,lunch,Baked Falafel Bowl,"Baked falafel with brown rice, pickled turnip, hummus, and tabbouleh. Magnesium and B6 from chickpeas.",magnesium;vitamin_b6;fiber,455,2.5,86.3,0.63,15.7,22,vegan
MEAL-0104,luteal,lunch,Lentil Dhal with Wholegrain Naan,"Yellow lentil dhal with spinach, served with wholegrain naan. Magnesium and B6 from lentils.",magnesium;vitamin_b6;iron,647,3.3,63.2,0.63,18.6,20,vegan
MEAL-0105,luteal,lunch,Brown Rice Sushi Rolls,"Vegetable sushi with brown rice, avocado, and cucumber. Magnesium from brown rice and seaweed.",magnesium;fiber;iodine,408,3.8,92.9,0.74,24.5,35,vegan
MEAL-0106,luteal,dinner,Banana Curry with Brown Rice,Ripe banana and chickpea curry in coconut milk with turmeric. Served over brown rice. B6 and magnesium.,vitamin_b6;magnesium;potassium,795,2.9,90.8,0.35,19.7,32,vegan;gluten_free
MEAL-0107,luteal,dinner,Stuffed Sweet Potatoes,"Sweet potatoes stuffed with black beans, corn, avocado, and lime crema. Complex carbs and magnesium-rich.",magnesium;vitamin_b6;fiber,734,2.0,139.9,0.78,36.7,20,vegan;gluten_free
MEAL-0108,luteal,dinner,Salmon with Brown Rice and Broccoli,"Baked salmon with brown rice and steamed broccoli. Omega-3, magnesium, and B6 in one plate.",omega3;magnesium;vitamin_b6,711,2.1,140.5,0.76,42.3,47,pescatarian;gluten_free
MEAL-0109,luteal,dinner,Chicken and Chickpea Tagine,"Slow-cooked chicken with chickpeas, dried apricots, and warming spices over couscous. B6 and magnesium.",vitamin_b6;magnesium;iron,492,4.4,84.1,0.29,45.0,34,dairy_free
MEAL-0110,luteal,dinner,Pumpkin and Sage Risotto,"Arborio rice with roasted pumpkin, sage, and parmesan. Rich in magnesium and complex carbs for mood support.",magnesium;vitamin_a;calcium,636,4.2,80.3,0.48,37.4,44,vegetarian;gluten_free
MEAL-0111,luteal,dinner,Black Bean Enchiladas,"Corn tortillas stuffed with black beans, sweet potato, and cheese. Magnesium and complex carbs.",magnesium;vitamin_b6;calcium,486,2.5,135.5,0.33,30.9,37,vegetarian;gluten_free
MEAL-0112,luteal,dinner,Tofu and Vegetable Pad Thai,"Rice noodles with tofu, bean sprouts, peanuts, and lime. Magnesium from tofu and peanuts.",magnesium;protein;vitamin_b6,460,2.4,66.2,0.26,34.6,30,vegan
MEAL-0113,menstrual,breakfast,Iron-Boosted Spinach Omelette (Light Version),"Eggs scrambled with baby spinach, cherry tomatoes, and feta cheese. Rich in iron and protein to support energy during menstruation.",iron;protein;folate,332,5.8,85.0,1.0,42.9,16,vegetarian
MEAL-0114,menstrual,breakfast,Dark Chocolate Overnight Oats (High Protein),"Rolled oats soaked in oat milk with dark chocolate chips, chia seeds, and banana. Provides magnesium and slow-release energy.",magnesium;iron;fiber,377,4.8,59.5,0.93,17.6,19,vegan
MEAL-0115,menstrual,breakfast,Ginger Turmeric Smoothie Bowl (Quick Prep),"Blended mango, banana, ginger, and turmeric with almond milk. Topped with pumpkin seeds and hemp hearts. Anti-inflammatory and soothing.",vitamin_c;iron;omega3,394,8.6,69.6,1.12,33.6,23,vegan
MEAL-0116,menstrual,breakfast,Lentil and Spinach Breakfast Bowl (Family Size),"Red lentils cooked with spinach, cumin, and topped with a poached egg. A warming iron-rich start to the day.",iron;protein;fiber,305,7.5,111.9,1.08,32.6,16,vegetarian
MEAL-0117,menstrual,breakfast,Salmon Avocado Toast (Low Carb),"Smoked salmon on wholegrain toast with avocado, lemon, and black pepper. High in omega-3 for anti-inflammatory support.",omega3;protein;vitamin_d,411,8.3,73.1,0.71,20.7,22,pescatarian
MEAL-0118,menstrual,breakfast,Beetroot and Berry Smoothie (Seasonal),"Beetroot, mixed berries, flaxseed, and oat milk blended. Iron-boosting and refreshing morning drink.",iron;antioxidants;fiber,329,7.4,100.5,1.01,40.6,12,vegan
