meal_id,food_name,grams,ingredient_role,is_primary
MEAL-0211,"Sweet potato, unprepared, raw",80.0,veg,false
MEAL-0211,"Potatoes, skin, raw",80.0,veg,false
MEAL-0211,"Quinoa, cooked",120.0,grain,false
MEAL-0212,"Rice, raw, long-grain, brown",120.0,grain,true
MEAL-0212,"Chickpeas (garbanzo beans, bengal gram), raw, mature seeds",150.0,protein_veg,false
MEAL-0212,"Spinach, raw",80.0,veg,false
MEAL-0213,"Ground turkey, raw",120.0,protein,true
MEAL-0213,"Tortillas, corn, ready-to-bake or -fry",120.0,grain,false
MEAL-0213,"Sweet potato, unprepared, raw",80.0,veg,false
MEAL-0213,"Potatoes, skin, raw",80.0,veg,false
MEAL-0214,"Barley, hulled",120.0,grain,true
MEAL-0214,"Mushrooms, raw, white",80.0,veg,false
MEAL-0214,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0215,"Chickpeas (garbanzo beans, bengal gram), raw, mature seeds",150.0,protein_veg,true
MEAL-0215,"Quinoa, cooked",120.0,grain,false
MEAL-0215,"Spinach, raw",80.0,veg,false
MEAL-0216,"Lentils, raw",150.0,protein_veg,true
MEAL-0216,"Bread, rye",120.0,grain,false
MEAL-0216,"Spinach, raw",80.0,veg,false
MEAL-0217,"Rice, raw, long-grain, brown",120.0,grain,true
MEAL-0217,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0217,"Spinach, raw",80.0,veg,false
MEAL-0218,"Rice, raw, long-grain, brown",120.0,grain,true
MEAL-0218,"Bananas, raw",90.0,fruit,false
MEAL-0218,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0219,"Sweet potato, unprepared, raw",80.0,veg,true
MEAL-0219,"Potatoes, skin, raw",80.0,veg,false
MEAL-0219,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0219,"Quinoa, cooked",120.0,grain,false
MEAL-0220,"Rice, raw, long-grain, brown",120.0,grain,true
MEAL-0220,"Fish, raw, pink, salmon",90.0,protein,false
MEAL-0220,"Broccoli, raw",80.0,veg,false
MEAL-0221,"Chicken, raw, ground",120.0,protein,true
MEAL-0221,"Chickpeas (garbanzo beans, bengal gram), raw, mature seeds",150.0,protein_veg,false
MEAL-0221,"Quinoa, cooked",120.0,grain,false
MEAL-0221,"Spinach, raw",80.0,veg,false
MEAL-0222,"Rice, enriched, raw, medium-grain, white",120.0,grain,true
MEAL-0222,"Egg, fresh, raw, yolk",100.0,protein,false
MEAL-0222,"Spinach, raw",80.0,veg,false
MEAL-0223,"Beans, raw, mature seeds, black",150.0,protein_veg,true
MEAL-0223,"Quinoa, cooked",120.0,grain,false
MEAL-0223,"Spinach, raw",80.0,veg,false
MEAL-0224,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,true
MEAL-0224,"Rice noodles, cooked",120.0,grain,false
MEAL-0224,"Spinach, raw",80.0,veg,false
MEAL-0225,"Egg, fresh, raw, yolk",100.0,protein,true
MEAL-0225,"Spinach, raw",80.0,veg,false
MEAL-0225,Oats,120.0,grain,false
MEAL-0226,Oats,120.0,grain,true
MEAL-0226,"Cocoa, unsweetened, dry powder",8.0,extra,false
MEAL-0226,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0226,"Bananas, raw",90.0,fruit,false
MEAL-0227,"Ginger root, raw",8.0,extra,true
MEAL-0227,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0227,Oats,120.0,grain,false
MEAL-0227,"Bananas, raw",90.0,fruit,false
MEAL-0228,"Lentils, raw",150.0,protein_veg,true
MEAL-0228,"Spinach, raw",80.0,veg,false
MEAL-0228,Oats,120.0,grain,false
MEAL-0229,"Fish, raw, pink, salmon",90.0,protein,true
MEAL-0229,"Bread, rye",120.0,grain,false
MEAL-0229,"Avocados, Florida, raw",90.0,fruit,false
MEAL-0230,"Beets, raw",80.0,veg,true
MEAL-0230,"Blueberries, raw",90.0,fruit,false
MEAL-0230,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0230,Oats,120.0,grain,false
MEAL-0231,"Apricots, raw",90.0,fruit,true
MEAL-0231,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0231,Oats,120.0,grain,false
MEAL-0232,"Cocoa, unsweetened, dry powder",8.0,extra,true
MEAL-0232,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0232,"Quinoa, cooked",120.0,grain,false
MEAL-0232,"Spinach, raw",80.0,veg,false
MEAL-0233,"Ginger root, raw",8.0,extra,true
MEAL-0233,"Egg, fresh, raw, yolk",100.0,protein,false
MEAL-0233,"Quinoa, cooked",120.0,grain,false
MEAL-0233,"Spinach, raw",80.0,veg,false
MEAL-0234,"Chickpeas (garbanzo beans, bengal gram), raw, mature seeds",150.0,protein_veg,true
MEAL-0234,"Beets, raw",80.0,veg,false
MEAL-0234,"Quinoa, cooked",120.0,grain,false
MEAL-0235,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,true
MEAL-0235,"Quinoa, cooked",120.0,grain,false
MEAL-0235,"Spinach, raw",80.0,veg,false
MEAL-0236,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,true
MEAL-0236,"Quinoa, cooked",120.0,grain,false
MEAL-0236,"Spinach, raw",80.0,veg,false
MEAL-0237,"Seeds, roasted and toasted, whole, sesame seeds",20.0,nut,true
MEAL-0237,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0237,"Quinoa, cooked",120.0,grain,false
MEAL-0237,"Spinach, raw",80.0,veg,false
MEAL-0238,"Spinach, raw",80.0,veg,true
MEAL-0238,"Egg, fresh, raw, yolk",100.0,protein,false
MEAL-0238,"Quinoa, cooked",120.0,grain,false
MEAL-0239,"Lentils, raw",150.0,protein_veg,true
MEAL-0239,"Kale, raw",80.0,veg,false
MEAL-0239,"Quinoa, cooked",120.0,grain,false
MEAL-0240,"Fish, raw, pink, salmon",90.0,protein,true
MEAL-0240,"Rice, enriched, raw, medium-grain, white",120.0,grain,false
MEAL-0240,"Spinach, raw",80.0,veg,false
MEAL-0241,"Chickpeas (garbanzo beans, bengal gram), raw, mature seeds",150.0,protein_veg,true
MEAL-0241,"Spinach, raw",80.0,veg,false
MEAL-0241,"Quinoa, cooked",120.0,grain,false
MEAL-0242,"Beef, raw, ground, grass-fed",120.0,protein,true
MEAL-0242,"Broccoli, raw",80.0,veg,false
MEAL-0242,"Quinoa, cooked",120.0,grain,false
MEAL-0243,"Fish, drained solids with bone, canned in oil, Atlantic, sardine",90.0,protein,true
MEAL-0243,"Quinoa, cooked",120.0,grain,false
MEAL-0243,"Spinach, raw",80.0,veg,false
MEAL-0244,"Beans, raw, mature seeds, black",150.0,protein_veg,true
MEAL-0244,"Quinoa, cooked",120.0,grain,false
MEAL-0244,"Spinach, raw",80.0,veg,false
MEAL-0245,"Chicken, raw, all classes, liver",120.0,protein,true
MEAL-0245,"Bread, rye",120.0,grain,false
MEAL-0245,"Spinach, raw",80.0,veg,false
MEAL-0246,"Lamb, raw, ground",120.0,protein,true
MEAL-0246,"Lentils, raw",150.0,protein_veg,false
MEAL-0246,"Quinoa, cooked",120.0,grain,false
MEAL-0246,"Spinach, raw",80.0,veg,false
MEAL-0247,"Fish, raw, pink, salmon",90.0,protein,true
MEAL-0247,"Sweet potato, unprepared, raw",80.0,veg,false
MEAL-0247,"Potatoes, skin, raw",80.0,veg,false
MEAL-0247,"Quinoa, cooked",120.0,grain,false
MEAL-0248,"Beef, raw, ground, grass-fed",120.0,protein,true
MEAL-0248,"Cocoa, unsweetened, dry powder",8.0,extra,false
MEAL-0248,"Quinoa, cooked",120.0,grain,false
MEAL-0248,"Spinach, raw",80.0,veg,false
MEAL-0249,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,true
MEAL-0249,"Rice noodles, cooked",120.0,grain,false
MEAL-0249,"Mushrooms, raw, white",80.0,veg,false
MEAL-0250,"Chicken, raw, ground",120.0,protein,true
MEAL-0250,"Chicken, raw, all classes, liver",120.0,protein,false
MEAL-0250,"Bread, rye",120.0,grain,false
MEAL-0250,"Spinach, raw",80.0,veg,false
MEAL-0251,"Game meat, raw, deer",120.0,protein,true
MEAL-0251,"Beef, raw, ground, grass-fed",120.0,protein,false
MEAL-0251,"Cabbage, raw",80.0,veg,false
MEAL-0251,"Quinoa, cooked",120.0,grain,false
MEAL-0252,"Mollusks, raw, blue, mussel",90.0,protein,true
MEAL-0252,"Quinoa, cooked",120.0,grain,false
MEAL-0252,"Spinach, raw",80.0,veg,false
MEAL-0253,Oats,120.0,grain,true
MEAL-0253,"Blueberries, raw",90.0,fruit,false
MEAL-0253,"Egg, fresh, raw, yolk",100.0,protein,false
MEAL-0254,"Ground turkey, raw",120.0,protein,true
MEAL-0254,"Egg, fresh, raw, yolk",100.0,protein,false
MEAL-0254,Oats,120.0,grain,false
MEAL-0254,"Bananas, raw",90.0,fruit,false
MEAL-0255,"Blueberries, raw",90.0,fruit,true
MEAL-0255,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0255,Oats,120.0,grain,false
MEAL-0256,Oats,120.0,grain,true
MEAL-0256,"Quinoa, cooked",120.0,grain,false
MEAL-0256,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0256,"Bananas, raw",90.0,fruit,false
MEAL-0257,"Yogurt, nonfat, plain, Greek",150.0,dairy,true
MEAL-0257,"Egg, fresh, raw, yolk",100.0,protein,false
MEAL-0257,Oats,120.0,grain,false
MEAL-0257,"Bananas, raw",90.0,fruit,false
MEAL-0258,"Egg, fresh, raw, yolk",100.0,protein,true
MEAL-0258,Oats,120.0,grain,false
MEAL-0258,"Bananas, raw",90.0,fruit,false
MEAL-0259,"Cheese, with vegetables, cottage",150.0,dairy,true
MEAL-0259,"Egg, fresh, raw, yolk",100.0,protein,false
MEAL-0259,Oats,120.0,grain,false
MEAL-0259,"Bananas, raw",90.0,fruit,false
MEAL-0260,"Egg, fresh, raw, yolk",100.0,protein,true
MEAL-0260,"Tomatoes, raw, green",80.0,veg,false
MEAL-0260,"Quinoa, cooked",120.0,grain,false
MEAL-0261,"Blueberries, raw",90.0,fruit,true
MEAL-0261,"Nuts, almonds",20.0,nut,false
MEAL-0261,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0261,"Quinoa, cooked",120.0,grain,false
MEAL-0262,"Chicken, raw, ground",120.0,protein,true
MEAL-0262,"Quinoa, cooked",120.0,grain,false
MEAL-0262,"Spinach, raw",80.0,veg,false
MEAL-0350,"Spinach, raw",80.0,veg,true
MEAL-0350,"Egg, fresh, raw, yolk",100.0,protein,false
MEAL-0350,"Quinoa, cooked",120.0,grain,false
MEAL-0351,"Lentils, raw",150.0,protein_veg,true
MEAL-0351,"Kale, raw",80.0,veg,false
MEAL-0351,"Quinoa, cooked",120.0,grain,false
MEAL-0352,"Fish, raw, pink, salmon",90.0,protein,true
MEAL-0352,"Rice, enriched, raw, medium-grain, white",120.0,grain,false
MEAL-0352,"Spinach, raw",80.0,veg,false
MEAL-0353,"Chickpeas (garbanzo beans, bengal gram), raw, mature seeds",150.0,protein_veg,true
MEAL-0353,"Spinach, raw",80.0,veg,false
MEAL-0353,"Quinoa, cooked",120.0,grain,false
MEAL-0354,"Beef, raw, ground, grass-fed",120.0,protein,true
MEAL-0354,"Broccoli, raw",80.0,veg,false
MEAL-0354,"Quinoa, cooked",120.0,grain,false
MEAL-0355,"Fish, drained solids with bone, canned in oil, Atlantic, sardine",90.0,protein,true
MEAL-0355,"Quinoa, cooked",120.0,grain,false
MEAL-0355,"Spinach, raw",80.0,veg,false
MEAL-0356,"Beans, raw, mature seeds, black",150.0,protein_veg,true
MEAL-0356,"Quinoa, cooked",120.0,grain,false
MEAL-0356,"Spinach, raw",80.0,veg,false
MEAL-0357,"Chicken, raw, all classes, liver",120.0,protein,true
MEAL-0357,"Bread, rye",120.0,grain,false
MEAL-0357,"Spinach, raw",80.0,veg,false
MEAL-0358,"Lamb, raw, ground",120.0,protein,true
MEAL-0358,"Lentils, raw",150.0,protein_veg,false
MEAL-0358,"Quinoa, cooked",120.0,grain,false
MEAL-0358,"Spinach, raw",80.0,veg,false
MEAL-0359,"Fish, raw, pink, salmon",90.0,protein,true
MEAL-0359,"Sweet potato, unprepared, raw",80.0,veg,false
MEAL-0359,"Potatoes, skin, raw",80.0,veg,false
MEAL-0359,"Quinoa, cooked",120.0,grain,false
MEAL-0360,"Beef, raw, ground, grass-fed",120.0,protein,true
MEAL-0360,"Cocoa, unsweetened, dry powder",8.0,extra,false
MEAL-0360,"Quinoa, cooked",120.0,grain,false
MEAL-0360,"Spinach, raw",80.0,veg,false
MEAL-0361,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,true
MEAL-0361,"Rice noodles, cooked",120.0,grain,false
MEAL-0361,"Mushrooms, raw, white",80.0,veg,false
MEAL-0362,"Chicken, raw, ground",120.0,protein,true
MEAL-0362,"Chicken, raw, all classes, liver",120.0,protein,false
MEAL-0362,"Bread, rye",120.0,grain,false
MEAL-0362,"Spinach, raw",80.0,veg,false
MEAL-0363,"Game meat, raw, deer",120.0,protein,true
MEAL-0363,"Beef, raw, ground, grass-fed",120.0,protein,false
MEAL-0363,"Cabbage, raw",80.0,veg,false
MEAL-0363,"Quinoa, cooked",120.0,grain,false
MEAL-0364,"Mollusks, raw, blue, mussel",90.0,protein,true
MEAL-0364,"Quinoa, cooked",120.0,grain,false
MEAL-0364,"Spinach, raw",80.0,veg,false
MEAL-0365,Oats,120.0,grain,true
MEAL-0365,"Blueberries, raw",90.0,fruit,false
MEAL-0365,"Egg, fresh, raw, yolk",100.0,protein,false
MEAL-0366,"Ground turkey, raw",120.0,protein,true
MEAL-0366,"Egg, fresh, raw, yolk",100.0,protein,false
MEAL-0366,Oats,120.0,grain,false
MEAL-0366,"Bananas, raw",90.0,fruit,false
MEAL-0367,"Blueberries, raw",90.0,fruit,true
MEAL-0367,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0367,Oats,120.0,grain,false
MEAL-0368,Oats,120.0,grain,true
MEAL-0368,"Quinoa, cooked",120.0,grain,false
MEAL-0368,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0368,"Bananas, raw",90.0,fruit,false
MEAL-0369,"Yogurt, nonfat, plain, Greek",150.0,dairy,true
MEAL-0369,"Egg, fresh, raw, yolk",100.0,protein,false
MEAL-0369,Oats,120.0,grain,false
MEAL-0369,"Bananas, raw",90.0,fruit,false
MEAL-0370,"Egg, fresh, raw, yolk",100.0,protein,true
MEAL-0370,Oats,120.0,grain,false
MEAL-0370,"Bananas, raw",90.0,fruit,false
MEAL-0371,"Cheese, with vegetables, cottage",150.0,dairy,true
MEAL-0371,"Egg, fresh, raw, yolk",100.0,protein,false
MEAL-0371,Oats,120.0,grain,false
MEAL-0371,"Bananas, raw",90.0,fruit,false
MEAL-0372,"Egg, fresh, raw, yolk",100.0,protein,true
MEAL-0372,"Tomatoes, raw, green",80.0,veg,false
MEAL-0372,"Quinoa, cooked",120.0,grain,false
MEAL-0373,"Blueberries, raw",90.0,fruit,true
MEAL-0373,"Nuts, almonds",20.0,nut,false
MEAL-0373,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0373,"Quinoa, cooked",120.0,grain,false
MEAL-0374,"Chicken, raw, ground",120.0,protein,true
MEAL-0374,"Quinoa, cooked",120.0,grain,false
MEAL-0374,"Spinach, raw",80.0,veg,false
MEAL-0375,"Edamame, prepared, frozen",150.0,protein_veg,true
MEAL-0375,"Quinoa, cooked",120.0,grain,false
MEAL-0375,"Spinach, raw",80.0,veg,false
MEAL-0376,"Egg, fresh, raw, yolk",100.0,protein,true
MEAL-0376,"Quinoa, cooked",120.0,grain,false
MEAL-0376,"Spinach, raw",80.0,veg,false
MEAL-0377,"Ground turkey, raw",120.0,protein,true
MEAL-0377,"Quinoa, cooked",120.0,grain,false
MEAL-0377,"Spinach, raw",80.0,veg,false
MEAL-0378,"Fish, raw, bluefin, fresh, tuna",90.0,protein,true
MEAL-0378,"Rice, enriched, raw, medium-grain, white",120.0,grain,false
MEAL-0378,"Spinach, raw",80.0,veg,false
MEAL-0379,"Chicken, raw, ground",120.0,protein,true
MEAL-0379,"Quinoa, cooked",120.0,grain,false
MEAL-0379,"Spinach, raw",80.0,veg,false
MEAL-0380,"Fish, raw, bluefin, fresh, tuna",90.0,protein,true
MEAL-0380,"Quinoa, cooked",120.0,grain,false
MEAL-0380,"Spinach, raw",80.0,veg,false
MEAL-0381,"Ground turkey, raw",120.0,protein,true
MEAL-0381,"Tortillas, corn, ready-to-bake or -fry",120.0,grain,false
MEAL-0381,"Avocados, Florida, raw",90.0,fruit,false
MEAL-0382,"Egg, fresh, raw, yolk",100.0,protein,true
MEAL-0382,"Rice, enriched, raw, medium-grain, white",120.0,grain,false
MEAL-0382,"Spinach, raw",80.0,veg,false
MEAL-0383,"Chicken, raw, ground",120.0,protein,true
MEAL-0383,"Cheese, hard, parmesan",30.0,dairy,false
MEAL-0383,"Quinoa, cooked",120.0,grain,false
MEAL-0383,"Spinach, raw",80.0,veg,false
MEAL-0384,"Crustaceans, raw (not previously frozen), shrimp",90.0,protein,true
MEAL-0384,"Rice noodles, cooked",120.0,grain,false
MEAL-0384,"Spinach, raw",80.0,veg,false
MEAL-0385,"Chicken, raw, ground",120.0,protein,true
MEAL-0385,"Quinoa, cooked",120.0,grain,false
MEAL-0385,"Spinach, raw",80.0,veg,false
MEAL-0386,"Beef, raw, ground, grass-fed",120.0,protein,true
MEAL-0386,"Asparagus, raw",80.0,veg,false
MEAL-0386,"Quinoa, cooked",120.0,grain,false
MEAL-0387,"Chicken, raw, ground",120.0,protein,true
MEAL-0387,"Nuts, raw, cashew nuts",20.0,nut,false
MEAL-0387,"Quinoa, cooked",120.0,grain,false
MEAL-0387,"Spinach, raw",80.0,veg,false
MEAL-0388,"Fish, raw, Atlantic, cod",90.0,protein,true
MEAL-0388,"Couscous, dry",120.0,grain,false
MEAL-0388,"Spinach, raw",80.0,veg,false
MEAL-0389,"Ground turkey, raw",120.0,protein,true
MEAL-0389,"Pasta, cooked, whole-wheat",120.0,grain,false
MEAL-0389,"Spinach, raw",80.0,veg,false
MEAL-0390,"Crustaceans, raw (not previously frozen), shrimp",90.0,protein,true
MEAL-0390,"Quinoa, cooked",120.0,grain,false
MEAL-0390,"Spinach, raw",80.0,veg,false
MEAL-0391,"Chicken, raw, ground",120.0,protein,true
MEAL-0391,"Sweet potato, unprepared, raw",80.0,veg,false
MEAL-0391,"Potatoes, skin, raw",80.0,veg,false
MEAL-0391,"Quinoa, cooked",120.0,grain,false
MEAL-0392,"Fish, raw, pink, salmon",90.0,protein,true
MEAL-0392,"Pasta, cooked, whole-wheat",120.0,grain,false
MEAL-0392,"Spinach, raw",80.0,veg,false
MEAL-0393,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,true
MEAL-0393,Oats,120.0,grain,false
MEAL-0393,"Bananas, raw",90.0,fruit,false
MEAL-0394,"Bread, rye",120.0,grain,true
MEAL-0394,"Seeds, without salt, roasted, pumpkin and squash seed kernels",20.0,nut,false
MEAL-0394,"Avocados, Florida, raw",90.0,fruit,false
MEAL-0394,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0395,Oats,120.0,grain,true
MEAL-0395,"Tofu, prepared with calcium sulfate, firm, raw",150.0,protein_veg,false
MEAL-0395,"Bananas, raw",90.0,fruit,false
MEAL-0396,"Fish, raw, pink, salmon",90.0,protein,true
MEAL-0396,"Bagels, wheat",120.0,grain,false
MEAL-0396,"Bananas, raw",90.0,fruit,false
MEAL-0397,"Egg, fresh, raw, yolk",100.0,protein,true
MEAL-0397,"Spinach, raw",80.0,veg,false
MEAL-0397,"Mushrooms, raw, white",80.0,veg,false
